"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1568","View an item","chromium","2026-09-19","passed","2026-09-19","Test for product ADIDAS ORIGINAL","dashboardPageTest.spec.ts","",""
"","4299","Add an item to cart","chromium","2026-09-19","passed","2026-09-19","Test for product ZARA COAT 3","dashboardPageTest.spec.ts","",""
"","1498","View an item","chromium","2026-09-19","passed","2026-09-19","Test for product ZARA COAT 3","dashboardPageTest.spec.ts","",""
"","5282","Add an item to cart","chromium","2026-09-19","passed","2026-09-19","Test for product iphone 13 pro","dashboardPageTest.spec.ts","",""
"","4850","View an item","chromium","2026-09-19","passed","2026-09-19","Test for product iphone 13 pro","dashboardPageTest.spec.ts","",""
"","4962","Add an item to cart","chromium","2026-09-19","passed","2026-09-19","Test for product ADIDAS ORIGINAL","dashboardPageTest.spec.ts","",""
